M2,f0,z,DM_over_rd,DH_over_rd
3.0,0.0001,0.0,0.0,30.29361809471853
3.0,0.0001,0.03640625,1.0932646655083562,29.765556662822064
3.0,0.0001,0.0728125,2.1671448211135456,29.22871797986646
3.0,0.0001,0.10921875,3.221359308772113,28.685210955883164
3.0,0.0001,0.145625,4.255700523094174,28.136967341637796
3.0,0.0001,0.18203125,5.270034307999454,27.5860903698969
3.0,0.0001,0.2184375,6.264294693513315,27.034222654040448
3.0,0.0001,0.25484375000000004,7.238478766321618,26.483185637574472
3.0,0.0001,0.29125,8.192645016384224,25.934531104062344
3.0,0.0001,0.32765625,9.126903404860885,25.389534872337833
3.0,0.0001,0.3640625,10.041413089541809,24.849623771077766
3.0,0.0001,0.40046875000000004,10.936377547179369,24.315805661371744
3.0,0.0001,0.436875,11.812038054943423,23.789149271589192
3.0,0.0001,0.47328125,12.66866980962164,23.270449268673328
3.0,0.0001,0.5096875000000001,13.506575248311432,22.76040744904905
3.0,0.0001,0.54609375,14.326080696915948,22.25963436270125
3.0,0.0001,0.5825,15.12753309885974,21.7686520960135
3.0,0.0001,0.61890625,15.911296862734508,21.287898022428706
3.0,0.0001,0.6553125,16.677747095550792,20.817522492800688
3.0,0.0001,0.69171875,17.42726926845822,20.357944516706
3.0,0.0001,0.728125,18.16025536001672,19.90910257320279
3.0,0.0001,0.76453125,18.877100586305687,19.471236038379992
3.0,0.0001,0.8009375000000001,19.578204400913567,19.04433832634468
3.0,0.0001,0.83734375,20.26396537715681,18.628367664700562
3.0,0.0001,0.87375,20.93477999633811,18.22325089976572
3.0,0.0001,0.91015625,21.591041571544448,17.828887137320486
3.0,0.0001,0.9465625,22.233139300572827,17.445151195568997
3.0,0.0001,0.9829687500000001,22.86145744084251,17.071896853580917
3.0,0.0001,1.0193750000000001,23.47637459864953,16.70895988431552
3.0,0.0001,1.0557812500000001,24.078260997899076,16.356044022955444
3.0,0.0001,1.0921875,24.667479409244503,16.01303608529135
3.0,0.0001,1.12859375,25.24438582938941,15.679677124386004
3.0,0.0001,1.165,25.80932720842104,15.355729105677558
3.0,0.0001,1.20140625,26.362641726102947,15.040948260538919
3.0,0.0001,1.2378125,26.90465965948144,14.735144216906198
3.0,0.0001,1.27421875,27.435701518875348,14.437970805591815
3.0,0.0001,1.310625,27.9560783693576,14.149255315321705
3.0,0.0001,1.3470312500000001,28.466093664398155,13.868752309223575
3.0,0.0001,1.3834375,28.9660417973619,13.59620950166021
3.0,0.0001,1.41984375,29.45620808581369,13.331380593545436
3.0,0.0001,1.45625,29.936868992639774,13.07402544668598
3.0,0.0001,1.49265625,30.408292352646036,12.823910210310313
3.0,0.0001,1.5290625,30.870737602991234,12.580807405220083
3.0,0.0001,1.56546875,31.32445601600338,12.344495970554362
3.0,0.0001,1.6018750000000002,31.7696909331011,12.114761277732223
3.0,0.0001,1.6382812500000001,32.20667799870097,11.891395115736863
3.0,0.0001,1.6746875,32.63564539313629,11.674195651525576
3.0,0.0001,1.71109375,33.0568140637442,11.462967368994795
3.0,0.0001,1.7475,33.47039678592768,11.257456853960429
3.0,0.0001,1.78390625,33.87659939237169,11.057536118070916
3.0,0.0001,1.8203125,34.27562223618376,10.863032125682293
3.0,0.0001,1.85671875,34.66765805641616,10.673699629574006
3.0,0.0001,1.893125,35.05289319076595,10.489432214534567
3.0,0.0001,1.9295312500000001,35.43150854628523,10.310037959915013
3.0,0.0001,1.9659375000000001,35.80367855358866,10.135352999243544
3.0,0.0001,2.00234375,36.16957212715709,9.965238166747199
3.0,0.0001,2.0387500000000003,36.52935266389396,9.799529516651786
3.0,0.0001,2.07515625,36.88317801074248,9.638086104211025
3.0,0.0001,2.1115625000000002,37.23120134039169,9.480792091110354
3.0,0.0001,2.14796875,37.57357028168024,9.327458760793224
3.0,0.0001,2.184375,37.91042774590827,9.178015668901168
3.0,0.0001,2.22078125,38.24191271014791,9.032317130529364
3.0,0.0001,2.2571875,38.56815882228774,8.890216068568684
3.0,0.0001,2.29359375,38.88929564147419,8.751634942532458
3.0,0.0001,2.33,39.205449208177434,8.61645799223777
3.0,0.0005,0.0,0.0,30.295376601062767
3.0,0.0005,0.03640625,1.0933234753269205,29.76702891045904
3.0,0.0005,0.0728125,2.1672525921060375,29.2299354447886
3.0,0.0005,0.10921875,3.221507306178314,28.686203354031754
3.0,0.0005,0.145625,4.255881058151294,28.137762419591148
3.0,0.0005,0.18203125,5.270240661012646,27.586713617427307
3.0,0.0005,0.2184375,6.264521033462034,27.03469740125154
3.0,0.0005,0.25484375000000004,7.238720069557692,26.48353290786612
3.0,0.0005,0.29125,8.192896984848433,25.934769734715385
3.0,0.0005,0.32765625,9.127162389294218,25.389681668314875
3.0,0.0005,0.3640625,10.041676015415144,24.849693500560026
3.0,0.0005,0.40046875000000004,10.9366418453239,24.315811318461627
3.0,0.0005,0.436875,11.812301598243081,23.789102146626544
3.0,0.0005,0.47328125,12.668930854846021,23.27035916031613
3.0,0.0005,0.5096875000000001,13.506832384335402,22.760282803048945
3.0,0.0005,0.54609375,14.326332797978877,22.25948240998314
3.0,0.0005,0.5825,15.127779282779105,21.768478986767693
3.0,0.0005,0.61890625,15.911536453882933,21.287708953700104
3.0,0.0005,0.6553125,16.677979593295387,20.81732188097551
3.0,0.0005,0.69171875,17.427494318963983,20.35773600983138
3.0,0.0005,0.728125,18.16047273195251,19.908889253057765
